Elmntkey,Study_Area,Sub_Area,Date Time,Side,Unitdesc,Peak Hour_SDOT,Parking_Spaces,Total_Vehicle_Count,Dp_Count,Rpz_Count,TG_Car2Go,BMW_DN,Lime,Idling,Field Notes,Construction,Event Closure,Subarea Label,Study Year,Peak Hour? (Yes or No),RPZ Blocks,CSM,Time Stamp
59046,South Lake Union,North,9/27/2017 20:00,E,YALE AVE N BETWEEN VALLEY ST AND ALOHA ST,,6,1,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:06:00 PM
81250,South Lake Union,North,9/27/2017 20:00,S,VALLEY ST BETWEEN YALE AVE N AND DEAD END,,4,2,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:05:00 PM
31594,South Lake Union,North,9/27/2017 20:00,S,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,,0,0,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:05:00 PM
31593,South Lake Union,North,9/27/2017 20:00,N,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,,15,11,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:04:00 PM
81249,South Lake Union,North,9/27/2017 20:00,N,VALLEY ST BETWEEN YALE AVE N AND DEAD END,,4,2,1,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:04:00 PM
35890,South Lake Union,North,9/27/2017 20:00,S,VALLEY ST BETWEEN MINOR AVE N AND YALE AVE N,,16,2,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:04:00 PM
35889,South Lake Union,North,9/27/2017 20:00,N,VALLEY ST BETWEEN MINOR AVE N AND YALE AVE N,,11,1,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:04:00 PM
57202,South Lake Union,North,9/27/2017 20:00,E,MINOR AVE N BETWEEN ROY ST AND VALLEY ST,,9,1,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:04:00 PM
34518,South Lake Union,North,9/27/2017 20:00,E,MINOR AVE N BETWEEN VALLEY ST AND ALOHA ST,,10,1,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:04:00 PM
53550,South Lake Union,North,9/27/2017 20:00,E,8TH AVE N BETWEEN ALOHA ST AND WESTLAKE S AVE N,,16,10,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:03:00 PM
